AI TYPE,Enemy Type,Group,VICTORIES,DEFEATS,Win%,DPS,ROUND LENGTH,Tweet,Light-Skin Stare,Fact-Check,Cancel,OK BOOMER!!!,Ratings,Ratings Difference
Random,MeleeEnemy,N/A,0,0,0,0,0,0,0,0,0,0,0,
Random,MeleeEnemy,N/A,10,0,100,14.34781,774.5723,32,10,10,10,0,199.6,
Random,SniperEnemy,N/A,10,0,100,12.69409,961.411,28,10,12,10,0,196,
Random,MeleeEliteEnemy,N/A,10,0,100,11.17428,5227.5,71,19,25,20,0,148.5,
Random,NFTBroEnemy,N/A,10,0,100,13.38097,884.1011,31,10,11,10,0,200,
Random,AIBroEnemy,N/A,10,0,100,16.13831,603.7811,30,10,10,10,0,200,
Random,RivalEnemy,N/A,10,0,100,9.81444,28191.4,165,43,51,40,0,191.4,
Random,Group,3 X MeleeEnemy,10,0,100,10.13897,14903.93,125,33,37,30,0,197.6,
Random,Group,3 X SniperEnemy,10,0,100,10.05739,15146.63,125,34,38,30,0,196.5,
Random,Group,3 X MeleeEliteEnemy,0,10,0,9.160365,2148.395,50,13,17,10,0,240,
Random,Group,3 X NFTBroEnemy,10,0,100,8.257142,24035.34,155,31,46,30,0,200,
Random,Group,3 X AIBroEnemy,10,0,100,10.14392,21684.05,156,39,41,36,0,183,
Random,Group,3 X RivalEnemy,0,10,0,8.624874,26254.95,163,41,44,33,0,411.4,
Random,Mixed,0,5,5,0,9.40254,21559.28,151,38,44,33,0,53.9,
Random,Mixed,1,10,0,100,10.86755,59358.41,247,60,70,57,1,191.5,
Random,Mixed,2,2,8,0,8.781064,20879.47,147,35,41,30,0,47.2,
Random,Mixed,3,0,10,0,7.637949,4622.385,67,19,20,12,0,182.8,
Random,Mixed,4,2,8,0,8.687245,24586.6,163,41,41,32,0,189.5,
Smart,Mixed,5,0,10,0,2.051813,17158.73,190,30,0,0,0,562.2,
Smart,MeleeEnemy,N/A,10,0,100,2.074332,29294.28,251,50,0,0,0,172,
Smart,SniperEnemy,N/A,10,0,100,2.126769,10089.02,151,20,0,0,0,172,
Smart,MeleeEliteEnemy,N/A,0,10,0,2.024488,34021.65,264,50,0,0,0,47.4,
Smart,NFTBroEnemy,N/A,10,0,100,2.074332,29294.28,251,40,0,0,0,200,
Smart,AIBroEnemy,N/A,6,4,0,2.025519,99170.63,451,78,0,0,0,131,
Smart,RivalEnemy,N/A,0,10,0,2.002312,183835,607,110,0,0,0,78.8,
Smart,Group,3 X MeleeEnemy,0,10,0,2.023943,61198.64,354,65,0,0,0,79.4,
Smart,Group,3 X SniperEnemy,0,10,0,2.02174,70670.66,380,66,0,0,0,14.2,
Smart,Group,3 X MeleeEliteEnemy,0,10,0,2.147253,2128.775,70,10,0,0,0,286.2,
Smart,Group,3 X NFTBroEnemy,10,0,100,2.024352,275322,751,117,0,0,0,200,
Smart,Group,3 X AIBroEnemy,0,10,0,2.012443,130487.7,514,86,0,0,0,521.6,
Smart,Group,3 X RivalEnemy,0,10,0,2.057058,17251.48,191,30,0,0,0,562,
Smart,Mixed,0,0,10,0,2.03286,8185.54,130,20,0,0,0,154.2,
Smart,Mixed,1,0,10,0,2.027415,30665.47,251,40,0,0,0,210,
Smart,Mixed,2,0,10,0,2.043704,8223.97,131,20,0,0,0,154,
Smart,Mixed,3,0,10,0,2.064238,3806.262,90,10,0,0,0,232.2,
Smart,Mixed,4,0,10,0,2.07836,7831.205,130,20,0,0,0,324.2,
